INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
270058538,06/19/2023,01:48:00,BROOKLYN,OUTSIDE,84,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,WHITE HISPANIC,989297,193690,40.698312,-73.981798,POINT (-73.981798 40.698312)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
264250139,02/26/2023,04:00:00,QUEENS,OUTSIDE,100,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1033851,152220,40.584346,-73.821423,POINT (-73.821423 40.584346)
269968284,06/16/2023,16:48:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,F,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1012479,252484,40.85964,-73.897947,POINT (-73.897947 40.85964)
266427566,04/08/2023,18:12:00,BRONX,OUTSIDE,52,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1019142,259107,40.877795,-73.873827,POINT (-73.873827 40.877795)
262334288,01/21/2023,21:17:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1003231,167629,40.626762,-73.931618,POINT (-73.931618 40.626762)
270017978,06/15/2023,23:54:00,BROOKLYN,OUTSIDE,70,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,996682,172472,40.640064,-73.955203,POINT (-73.955203 40.640064)
265006010,03/10/2023,15:16:00,BRONX,OUTSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,1019590,243320,40.834463,-73.872288,POINT (-73.872288 40.834463)
264080895,02/22/2023,08:25:00,MANHATTAN,INSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,F,WHITE HISPANIC,1002115,235058,40.811838,-73.935461,POINT (-73.935461 40.811838)
270489847,06/27/2023,20:15:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1039221,192292,40.694306,-73.801765,POINT (-73.801765 40.694306)
266051444,04/01/2023,23:30:00,BROOKLYN,OUTSIDE,76,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,983344,186202,40.677759,-74.003263,POINT (-74.003263 40.677759)
262673445,01/29/2023,04:30:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1012510,249959,40.852712,-73.897846,POINT (-73.897846 40.852712)
267855691,05/06/2023,19:40:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1041717,197008,,,
268390098,05/17/2023,06:28:00,BRONX,OUTSIDE,50,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1012305,260618,40.881967,-73.898543,POINT (-73.898543 40.881967)
270085088,06/19/2023,18:50:00,STATEN ISLAND,OUTSIDE,120,0,STREET,(null),N,18-24,M,BLACK,18-24,F,WHITE HISPANIC,962873,174172,,,
262747863,01/30/2023,07:25:00,BRONX,OUTSIDE,41,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1012238,239444,40.82384965,-73.89887473,POINT (-73.89887473 40.82384965)
265681415,03/25/2023,14:07:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1013046,183111,40.66922726,-73.89619649,POINT (-73.89619649 40.66922726)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
263083846,02/03/2023,13:00:00,BROOKLYN,INSIDE,67,0,DWELLING,PVT HOUSE,Y,45-64,F,BLACK,45-64,M,BLACK,1003058,174701,40.646171,-73.932223,POINT (-73.932223 40.646171)
266314620,04/06/2023,23:28:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1017449,238133,40.820235,-73.880053,POINT (-73.880053 40.820235)
267811917,05/05/2023,22:10:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,F,BLACK,1016100,247338,40.845504,-73.88488,POINT (-73.88488 40.845504)
262679246,01/28/2023,05:46:00,BRONX,OUTSIDE,44,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,1007072,239961,40.825285,-73.917538,POINT (-73.917538 40.825285)
264206295,02/25/2023,00:55:00,BROOKLYN,INSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,F,BLACK,1012777,182476,40.667487,-73.897168,POINT (-73.897168 40.667487)
268302280,05/15/2023,13:19:00,BRONX,OUTSIDE,41,0,STREET,(null),N,18-24,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,1011588,237995,40.819877,-73.901226,POINT (-73.901226 40.819877)
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,Y,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1025687,268586,40.903785,-73.850098,POINT (-73.850098 40.903785)
268973602,05/27/2023,21:25:00,BROOKLYN,INSIDE,75,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK HISPANIC,25-44,F,BLACK,1022965,182558,40.667673,-73.860441,POINT (-73.860441 40.667673)
266610830,04/12/2023,21:55:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK HISPANIC,1019996,187002,40.679883,-73.87112,POINT (-73.87112 40.679883)
269184589,06/01/2023,20:53:00,BROOKLYN,OUTSIDE,83,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1007142,192857,40.695995,-73.917445,POINT (-73.917445 40.695995)
